lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.6,0,200,0.001,pre_decay,0.7873677108436823,21.26322891563177,0.0,0.0,False,1.6281776965962675,1.7520843093072265,-0.12390661271095893,1.6271233652712795,1.7360750178594193,-0.10895165258813977,-0.014954960122819161
0.6,0,400,0.001,pre_decay,0.7483477890491486,25.165221095085144,3.901992179453373,9.965479373931885,False,1.6281776965962675,1.7575340678652334,-0.12935637126896582,1.6271233652712795,1.7637259259138391,-0.1366025606425596,0.007246189373593781
0.6,0,600,0.001,pre_decay,0.7491511795669794,25.08488204330206,-0.08033905178308487,9.193313121795654,False,1.6281776965962675,1.7475888932899737,-0.11941119669370615,1.6271233652712795,1.7529320286336871,-0.1258086633624076,0.006397466668701446
0.6,0,800,0.001,pre_decay,0.7226420547813177,27.73579452186823,2.6509124785661697,15.22529125213623,False,1.6281776965962675,1.7723304742851143,-0.1441527776888467,1.6271233652712795,1.776563397764995,-0.1494400324937155,0.005287254804868802
0.6,0,1000,0.001,pre_decay,0.7173476088792086,28.265239112079144,0.5294445902109146,11.982196569442749,False,1.6281776965962675,1.7680743218956023,-0.13989662529933478,1.6271233652712795,1.7775570312741589,-0.15043366600287933,0.010537040703544553
0.6,0,1200,0.001,pre_decay,0.7074059788137674,29.259402118623257,0.9941630065441132,13.617366552352905,False,1.6281776965962675,1.763665219803267,-0.13548752320699942,1.6271233652712795,1.7842792582565785,-0.15715589298529897,0.021668369778299557
0.6,0,1400,0.001,pre_decay,0.7233233768492937,27.66766231507063,-1.5917398035526276,14.135169982910156,False,1.6281776965962675,1.7705170744221082,-0.1423393778258406,1.6271233652712795,1.7773200993838412,-0.15019673411256163,0.007857356286721018
0.6,0,1600,0.001,pre_decay,0.6776917865499854,32.23082134500146,4.56315902993083,19.676601886749268,False,1.6281776965962675,1.8063889056788094,-0.17821120908254184,1.6271233652712795,1.8231179952244752,-0.1959946299531956,0.017783420870653766
0.6,0,1800,0.001,pre_decay,0.7189572313800454,28.10427686199546,-4.1265444830060005,14.898258447647095,False,1.6281776965962675,1.7519534674808335,-0.12377577088456593,1.6271233652712795,1.7681569483340311,-0.1410335830627516,0.017257812178185672
0.6,0,2000,0.00041633128829033424,decaying,0.7176371682435274,28.23628317564726,0.13200631365180016,12.708938121795654,False,1.6281776965962675,1.7370621948190306,-0.10888449822276303,1.6271233652712795,1.7663232715094708,-0.13919990623819123,0.030315408015428202
0.6,0,2200,0.0001,post_decay,0.6885191453620791,31.148085463792086,2.911802288144827,10.646802186965942,False,1.6281776965962675,1.7576305489198774,-0.1294528523236098,1.6271233652712795,1.7875185722865954,-0.16039520701531584,0.03094235469170603
