Device: cpu  λs=[0.04, 0.06, 0.08, 0.1, 0.15, 0.2]  seeds=[0, 1, 2]  epochs=15
Loaded MNIST MLP — 1,863,690 params, frozen.

── λ=0.04 seed=0 ── pruner params: 612,611
  [λ=0.04 seed=1] step  400 ep2 | loss +0.027 | orig 1.000 pruned 1.000 | pruned% h1= 49.5 h2= 54.2 (avg= 51.9)
  [λ=0.04 seed=1] step  500 ep3 | loss +0.036 | orig 0.988 pruned 0.996 | pruned% h1= 50.5 h2= 55.8 (avg= 53.1)
  [λ=0.04 seed=1] step  600 ep3 | loss +0.034 | orig 0.996 pruned 0.992 | pruned% h1= 56.3 h2= 57.4 (avg= 56.9)
  [λ=0.04 seed=1] step  700 ep3 | loss +0.033 | orig 0.988 pruned 0.992 | pruned% h1= 57.7 h2= 57.8 (avg= 57.8)
  [λ=0.04 seed=1] step  800 ep4 | loss +0.025 | orig 0.992 pruned 0.992 | pruned% h1= 60.4 h2= 58.5 (avg= 59.4)
  [λ=0.04 seed=1] step  900 ep4 | loss +0.030 | orig 0.996 pruned 0.996 | pruned% h1= 62.7 h2= 58.9 (avg= 60.8)
  [λ=0.04 seed=1] step 1000 ep5 | loss +0.026 | orig 0.996 pruned 1.000 | pruned% h1= 62.9 h2= 59.0 (avg= 60.9)
  [λ=0.04 seed=1] step 1100 ep5 | loss +0.036 | orig 1.000 pruned 1.000 | pruned% h1= 63.3 h2= 59.1 (avg= 61.2)
  [λ=0.04 seed=1] step 1200 ep6 | loss +0.050 | orig 1.000 pruned 0.992 | pruned% h1= 64.6 h2= 59.2 (avg= 61.9)
  [λ=0.04 seed=1] step 1300 ep6 | loss +0.032 | orig 0.996 pruned 0.988 | pruned% h1= 64.5 h2= 59.3 (avg= 61.9)
  [λ=0.04 seed=1] step 1400 ep6 | loss +0.035 | orig 0.996 pruned 0.996 | pruned% h1= 65.0 h2= 59.4 (avg= 62.2)
  [λ=0.04 seed=1] step 1500 ep7 | loss +0.066 | orig 0.996 pruned 0.977 | pruned% h1= 65.4 h2= 59.4 (avg= 62.4)
  [λ=0.04 seed=1] step 1600 ep7 | loss +0.025 | orig 0.992 pruned 1.000 | pruned% h1= 66.1 h2= 59.5 (avg= 62.8)
  [λ=0.04 seed=1] step 1700 ep8 | loss +0.042 | orig 1.000 pruned 1.000 | pruned% h1= 66.6 h2= 59.5 (avg= 63.0)
  [λ=0.04 seed=1] step 1800 ep8 | loss +0.035 | orig 1.000 pruned 0.992 | pruned% h1= 67.1 h2= 59.5 (avg= 63.3)
  [λ=0.04 seed=1] step 1900 ep9 | loss +0.047 | orig 0.996 pruned 0.988 | pruned% h1= 67.3 h2= 59.5 (avg= 63.4)
  [λ=0.04 seed=1] step 2000 ep9 | loss +0.005 | orig 0.996 pruned 0.996 | pruned% h1= 67.3 h2= 59.7 (avg= 63.5)
  [λ=0.04 seed=1] step 2100 ep9 | loss +0.027 | orig 0.984 pruned 0.996 | pruned% h1= 67.3 h2= 59.8 (avg= 63.5)
  [λ=0.04 seed=1] step 2200 ep10 | loss +0.059 | orig 1.000 pruned 0.992 | pruned% h1= 67.3 h2= 59.8 (avg= 63.5)
  [λ=0.04 seed=1] step 2300 ep10 | loss +0.029 | orig 0.992 pruned 0.988 | pruned% h1= 67.7 h2= 59.8 (avg= 63.7)
  [λ=0.04 seed=1] step 2400 ep11 | loss +0.033 | orig 0.996 pruned 0.996 | pruned% h1= 68.0 h2= 59.8 (avg= 63.9)
  [λ=0.04 seed=1] step 2500 ep11 | loss +0.029 | orig 0.992 pruned 0.996 | pruned% h1= 68.0 h2= 59.8 (avg= 63.9)
  [λ=0.04 seed=1] step 2600 ep12 | loss +0.015 | orig 0.996 pruned 0.992 | pruned% h1= 68.2 h2= 59.8 (avg= 64.0)
