lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,val_orig_ce,val_pruned_ce,val_delta,gap
0.8,0,200,0.001,pre_decay,0.6371417352929711,36.28582647070289,0.0,0.0,False,1.478545524201195,1.3080064336216752,0.17053909057951966,1.599616930312556,1.3668819816780402,0.23273494863451583,-0.06219585805499617
0.8,0,400,0.001,pre_decay,0.5105775347910821,48.942246520891786,12.656420050188899,42.641717195510864,False,1.478545524201195,1.3466315280869885,0.1319139961142064,1.599616930312556,1.3951740354049516,0.20444289490760448,-0.07252889879339808
0.8,0,600,0.001,pre_decay,0.4962867880240083,50.37132119759917,1.429074676707387,28.533798456192017,False,1.478545524201195,1.3407392361449637,0.13780628805623119,1.599616930312556,1.3814506871655892,0.21816624314696687,-0.08035995509073568
0.8,0,800,0.001,pre_decay,0.45140182226896286,54.859817773103714,4.488496575504541,21.002906560897827,False,1.478545524201195,1.3420098672774006,0.13653565692379432,1.599616930312556,1.3829843302262885,0.2166326000862675,-0.08009694316247318
0.8,0,1000,0.001,pre_decay,0.4386752797290683,56.13247202709317,1.272654253989458,20.376092195510864,False,1.478545524201195,1.355128329648006,0.123417194553189,1.599616930312556,1.3950783471424983,0.2045385831700577,-0.08112138861686868
0.8,0,1200,0.001,pre_decay,0.43701739236712456,56.298260763287544,0.16578873619437218,11.609739065170288,False,1.478545524201195,1.3289238624880912,0.14962166171310365,1.599616930312556,1.3843886325494483,0.2152282977631077,-0.06560663605000405
0.8,0,1400,0.001,pre_decay,0.44993129651993513,55.00687034800649,-1.2913904152810574,15.307050943374634,False,1.478545524201195,1.3116985872770557,0.1668469369241392,1.599616930312556,1.3591909372467483,0.2404259930658077,-0.07357905614166849
0.8,0,1600,0.001,pre_decay,0.422408705111593,57.7591294888407,2.7522591408342123,26.96220874786377,False,1.478545524201195,1.3456069565392996,0.13293856766189527,1.599616930312556,1.382973946626381,0.21664298368617496,-0.0837044160242797
0.8,0,1800,0.001,pre_decay,0.4019179232418537,59.80820767581463,2.0490781869739294,22.91969358921051,False,1.478545524201195,1.3512220351801,0.1273234890210948,1.599616930312556,1.4078386597089882,0.19177827060356778,-0.06445478158247298
0.8,0,2000,0.001,pre_decay,0.38132210494950414,61.867789505049586,2.0595818292349577,22.23837375640869,False,1.478545524201195,1.376083497893721,0.10246202630747381,1.599616930312556,1.4267553242408646,0.17286160607169143,-0.07039957976421762
0.8,0,2200,0.001,pre_decay,0.3944773110561073,60.55226889438927,-1.3155206106603146,15.043604373931885,False,1.478545524201195,1.35948390569795,0.11906161850324493,1.599616930312556,1.3974321543109278,0.2021847760016282,-0.08312315749838328
0.8,0,2400,0.001,pre_decay,0.41199297923594713,58.80070207640529,-1.751566817983985,18.89534890651703,False,1.478545524201195,1.328802059874774,0.14974346432642083,1.599616930312556,1.3670182505072517,0.23259867980530435,-0.08285521547888353
0.8,0,2600,0.001,pre_decay,0.376845246180892,62.3154753819108,3.514773305505514,18.1413471698761,False,1.478545524201195,1.3726253017772823,0.10592022242391264,1.599616930312556,1.4122501656471012,0.18736676466545488,-0.08144654224154224
0.8,0,2800,0.001,pre_decay,0.3852340318262577,61.47659681737423,-0.8388785645365715,25.608649849891663,False,1.478545524201195,1.3423977541171512,0.13614777008404366,1.599616930312556,1.3963210019373518,0.20329592837520427,-0.06714815829116061
0.8,0,3000,0.001,pre_decay,0.39820187631994486,60.179812368005514,-1.2967844493687153,20.367008447647095,False,1.478545524201195,1.3304868097008171,0.14805871450037777,1.599616930312556,1.3802561298552432,0.21936080045731288,-0.0713020859569351
0.8,0,3200,0.001,pre_decay,0.3795591816306114,62.04408183693886,1.8642694689333439,24.146077036857605,False,1.478545524201195,1.344859076417788,0.133686447783407,1.599616930312556,1.3870205740048545,0.21259635630770157,-0.07890990852429458
0.8,0,3400,0.001,pre_decay,0.4136707386933267,58.63292613066733,-3.411155706271529,30.959302186965942,False,1.478545524201195,1.3175234236124809,0.16102210058871402,1.599616930312556,1.348921002921137,0.2506959273914191,-0.08967382680270508
0.8,0,3600,0.001,pre_decay,0.39815077604725957,60.18492239527404,1.5519962646067142,30.34157156944275,False,1.478545524201195,1.325231852146786,0.15331367205440882,1.599616930312556,1.3628645065812848,0.23675242373127126,-0.08343875167686243
0.8,0,3800,0.001,pre_decay,0.4035332268103957,59.64667731896043,-0.5382450763136148,22.0294326543808,False,1.478545524201195,1.325903707906791,0.15264181629440388,1.599616930312556,1.3697364706677944,0.22988045964476167,-0.0772386433503578
0.8,0,4000,0.001,pre_decay,0.37848609825596213,62.15139017440379,2.5047128554433584,22.792518138885498,False,1.478545524201195,1.3424774965269486,0.1360680276742463,1.599616930312556,1.3873376325397908,0.21227929777276522,-0.07621127009851891
0.8,0,4200,0.001,pre_decay,0.40941531024873257,59.05846897512674,-3.0929211992770433,25.926601886749268,False,1.478545524201195,1.3181571939120804,0.16038833028911448,1.599616930312556,1.3546047971637454,0.24501213314881065,-0.08462380285969617
0.8,0,4400,0.001,pre_decay,0.38709063502028584,61.290936497971416,2.232467522844672,38.353925943374634,False,1.478545524201195,1.3282236895896222,0.15032183461157267,1.599616930312556,1.37372665570415,0.22589027460840594,-0.07556843999683327
0.8,0,4600,0.001,pre_decay,0.40632380871102214,59.367619128897786,-1.9233173690736294,25.199857354164124,False,1.478545524201195,1.3264369010796586,0.15210862312153628,1.599616930312556,1.3521919934228077,0.24742493688974831,-0.09531631376821204
0.8,0,4800,0.001,pre_decay,0.37864507641643286,62.135492358356714,2.767873229458928,29.969114065170288,False,1.478545524201195,1.341225303569884,0.13732022063131089,1.599616930312556,1.3697739760885947,0.22984295422396128,-0.0925227335926504
0.8,0,5000,0.001,pre_decay,0.40632096864283085,59.367903135716915,-2.767589222639799,22.247451543807983,False,1.478545524201195,1.3126331539173175,0.1659123702838774,1.599616930312556,1.3461295315061632,0.2534873988063928,-0.08757502852251542
0.8,0,5200,0.001,pre_decay,0.3882943051867187,61.17056948132813,1.8026663456112146,25.726747512817383,False,1.478545524201195,1.3245700007830146,0.15397552341818033,1.599616930312556,1.3655317489759844,0.23408518133657163,-0.08010965791839131
0.8,0,5400,0.001,pre_decay,0.4011230440810323,59.88769559189677,-1.2828738894313574,38.69004547595978,False,1.478545524201195,1.3065774773562195,0.17196804684497535,1.599616930312556,1.3545029687569237,0.24511396155563236,-0.07314591471065701
0.8,0,5600,0.001,pre_decay,0.37190849846228957,62.80915015377104,2.9214545618742704,27.86155641078949,False,1.478545524201195,1.3347558014062078,0.14378972279498714,1.599616930312556,1.3890558827233164,0.21056104758923966,-0.06677132479425252
0.8,0,5800,0.001,pre_decay,0.3974552578292787,60.25447421707213,-2.5546759366989136,27.46184766292572,False,1.478545524201195,1.3069184583145586,0.17162706588663634,1.599616930312556,1.3516888780317742,0.24792805228078185,-0.07630098639414551
0.8,0,6000,0.001,pre_decay,0.39105934323742986,60.894065676257014,0.639591459184885,35.40152907371521,False,1.478545524201195,1.3160405922866396,0.16250493191455528,1.599616930312556,1.3631807842917156,0.2364361460208404,-0.07393121410628511
0.8,0,6200,0.001,pre_decay,0.3786734654568136,62.13265345431864,1.2385877780616283,19.16787624359131,False,1.478545524201195,1.3345105660451702,0.14403495815602474,1.599616930312556,1.3770987047894445,0.2225182255231115,-0.07848326736708677
0.8,0,6400,0.001,pre_decay,0.35824797861278057,64.17520213872194,2.0425486844033003,37.436410784721375,False,1.478545524201195,1.355069045903937,0.12347647829725794,1.599616930312556,1.4034556648422414,0.19616126547031465,-0.07268478717305671
0.8,0,6600,0.001,pre_decay,0.34716228768229485,65.28377123177052,1.1085690930485725,26.117369532585144,False,1.478545524201195,1.36934377461858,0.10920174958261497,1.599616930312556,1.4246209100001619,0.17499602031239414,-0.06579427072977917
0.8,0,6800,0.001,pre_decay,0.3604935030452907,63.95064969547093,-1.3331215362995863,20.357921719551086,False,1.478545524201195,1.3476499842633956,0.13089553993779934,1.599616930312556,1.3993551248003424,0.20026180551221362,-0.06936626557441428
0.8,0,7000,0.001,pre_decay,0.3858046419918537,61.41953580081463,-2.5311138946563005,18.195858597755432,False,1.478545524201195,1.3134791057663453,0.1650664184348496,1.599616930312556,1.3540220911551137,0.2455948391574423,-0.0805284207225927
0.8,0,7200,0.001,pre_decay,0.39378747111186385,60.621252888813615,-0.7982829120010138,31.76780641078949,False,1.478545524201195,1.313452962020906,0.165092562180289,1.599616930312556,1.3547767363664,0.24484019394615597,-0.07974763176586697
0.8,0,7400,0.001,pre_decay,0.35933241760358214,64.06675823964179,3.4455053508281708,26.58066749572754,False,1.478545524201195,1.3464123026539754,0.13213322154721951,1.599616930312556,1.3927868043495781,0.2068301259629779,-0.07469690441575838
0.8,0,7600,0.001,pre_decay,0.338185862172395,66.1814137827605,2.1146555431187153,22.728925943374634,False,1.478545524201195,1.3749115044272489,0.10363401977394604,1.599616930312556,1.433003672664093,0.16661325764846313,-0.06297923787451709
0.8,0,7800,0.001,pre_decay,0.3555368813686073,64.44631186313927,-1.7351019196212292,21.375364065170288,False,1.478545524201195,1.346056192338793,0.13248933186240186,1.599616930312556,1.3932057423339876,0.2064111879785684,-0.07392185611616653
0.8,0,8000,0.001,pre_decay,0.3469266635365784,65.30733364634216,0.8610217832028866,20.42151391506195,False,1.478545524201195,1.3513136451794296,0.12723187902176525,1.599616930312556,1.4052293088164387,0.19438762149611732,-0.06715574247435208
0.8,0,8200,0.001,pre_decay,0.4252134822309017,57.47865177690983,-7.82868186943233,44.18604373931885,False,1.478545524201195,1.2878556183679457,0.19068990583324918,1.599616930312556,1.3166969667213788,0.2829199635911772,-0.09223005775792803
0.8,0,8400,0.001,pre_decay,0.3686864087358117,63.13135912641883,5.652707349509001,29.9236923456192,False,1.478545524201195,1.3379788175989449,0.14056670660225,1.599616930312556,1.3852864054172884,0.2143305248952676,-0.07376381829301759
0.8,0,8600,0.001,pre_decay,0.38302257051691413,61.69774294830859,-1.433616178110242,21.393533051013947,False,1.478545524201195,1.3139543762421786,0.1645911479590163,1.599616930312556,1.3494077180581807,0.2502092122543753,-0.08561806429535901
0.8,0,8800,0.001,pre_decay,0.3546681934967637,64.53318065032363,2.8354377020150423,22.229290008544922,False,1.478545524201195,1.3348288903527266,0.14371663384846833,1.599616930312556,1.3899217038913716,0.20969522642118443,-0.0659785925727161
0.8,0,9000,0.001,pre_decay,0.37632574141025543,62.36742585897446,-2.1657547913491726,30.84120750427246,False,1.478545524201195,1.3272005014470303,0.15134502275416462,1.599616930312556,1.3746378198098326,0.22497911050272346,-0.07363408774855884
0.8,0,9200,0.001,pre_decay,0.396399206481874,60.3600793518126,-2.0073465071618557,26.108285784721375,False,1.478545524201195,1.2927045616030168,0.18584096259817806,1.599616930312556,1.3468530588240768,0.25276387148847923,-0.06692290889030117
0.8,0,9400,0.001,pre_decay,0.3661286081187427,63.38713918812573,3.0270598363131285,19.249635934829712,False,1.478545524201195,1.3109375157701562,0.16760800843103874,1.599616930312556,1.3632770052150347,0.23633992509752133,-0.0687319166664826
0.8,0,9600,0.001,pre_decay,0.35367459850385785,64.63254014961421,1.2454009614884853,27.970564365386963,False,1.478545524201195,1.340201985379123,0.13834353882207195,1.599616930312556,1.3869142723468908,0.21270265796566523,-0.07435911914359328
0.8,0,9800,0.001,pre_decay,0.3472701646387577,65.27298353612423,0.6404433865100145,18.668243288993835,False,1.478545524201195,1.3485353976968462,0.13001012650434873,1.599616930312556,1.3931859257593462,0.20643100455320984,-0.07642087804886111
0.8,0,10000,0.001,pre_decay,0.37434422597289085,62.565577402710915,-2.707406133413315,52.71620452404022,False,1.478545524201195,1.314834200840389,0.16371132336080585,1.599616930312556,1.364892614858634,0.23472431545392203,-0.07101299209311618
0.8,0,10200,0.001,pre_decay,0.35439282609149814,64.56071739085019,1.9951399881392717,36.791425943374634,False,1.478545524201195,1.3381177165453662,0.14042780765582874,1.599616930312556,1.3895043486072556,0.21011258170530045,-0.06968477404947171
0.8,0,10400,0.001,pre_decay,0.36261128168553114,63.738871831446886,-0.8218455594033003,28.997093439102173,False,1.478545524201195,1.3302377027636771,0.14830782143751775,1.599616930312556,1.3870458376902803,0.2125710926222757,-0.06426327118475794
0.8,0,10600,0.001,pre_decay,0.36344874277710915,63.655125722289085,-0.08374610915780067,32.321950793266296,False,1.478545524201195,1.3300254878610214,0.14852003634017352,1.599616930312556,1.3765257770770747,0.22309115323548134,-0.07457111689530782
0.8,0,10800,0.001,pre_decay,0.3461431465111673,65.38568534888327,1.7305596265941858,18.74091327190399,False,1.478545524201195,1.3530291486119235,0.12551637558927142,1.599616930312556,1.4001264143434067,0.19949051596914935,-0.07397414037987793
0.8,0,11000,0.001,pre_decay,0.37752373423427343,62.24762657657266,-3.1380587723106146,29.56940531730652,False,1.478545524201195,1.2983456027620859,0.180199921439109,1.599616930312556,1.3506768838940209,0.24894004641853518,-0.06874012497942616
0.8,0,11200,0.001,pre_decay,0.3712470466271043,62.87529533728957,0.6276687607169151,19.058865308761597,False,1.478545524201195,1.3144505270060463,0.16409499719514864,1.599616930312556,1.3722368207645241,0.2273801095480319,-0.06328511235288325
0.8,0,11400,0.001,pre_decay,0.3701313817873597,62.98686182126403,0.11156648397445679,26.798689365386963,False,1.478545524201195,1.3176458678157656,0.16089965638542925,1.599616930312556,1.3676313817537658,0.23198554855879028,-0.07108589217336103
0.8,0,11600,0.001,pre_decay,0.3794740177690983,62.05259822309017,-0.9342635981738567,27.389174699783325,False,1.478545524201195,1.3172166680668207,0.1613288561343742,1.599616930312556,1.3573841568466,0.24223277346595595,-0.08090391733158175
0.8,0,11800,0.001,pre_decay,0.37011718517169356,62.988281482830644,0.9356832597404718,33.521077036857605,False,1.478545524201195,1.3293960998059606,0.14914942439523426,1.599616930312556,1.3721695223883028,0.22744740792425322,-0.07829798352901896
0.8,0,12000,0.001,pre_decay,0.3515624972060323,64.84375027939677,1.8554687965661287,50.14534741640091,False,1.478545524201195,1.3499821313981002,0.1285633928030947,1.599616930312556,1.4017925549436498,0.19782437536890618,-0.06926098256581148
