Device: cpu  λs=[0.05, 0.1, 0.15, 0.25, 0.4, 0.55]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_deep4x512.pt: hidden=[512, 512, 512, 512], 1,195,018 params, frozen.

── λ=0.05 seed=0 ── pruner params: 711,429
  [λ=0.05 seed=0] step 3300 ep15 | loss +0.027 | orig 0.992 pruned 0.992 | pruned% h1= 48.2 h2= 16.6 h3= 51.6 h4= 60.9 (avg= 44.3)
  [λ=0.05 seed=0] step 3400 ep15 | loss +0.045 | orig 1.000 pruned 0.996 | pruned% h1= 48.2 h2= 17.0 h3= 51.6 h4= 60.9 (avg= 44.4)
  [λ=0.05 seed=0] step 3500 ep15 | loss +0.031 | orig 0.996 pruned 0.996 | pruned% h1= 48.2 h2= 17.2 h3= 51.6 h4= 60.9 (avg= 44.5)
  → [λ=0.05 seed=0] final keep 0.555  pruned 44.48%  | per-layer kept [265, 424, 248, 200]/[512, 512, 512, 512]  | orig→pruned test acc 98.32→98.13%  | 69s

── λ=0.05 seed=1 ── pruner params: 711,429
  [λ=0.05 seed=1] step  100 ep1 | loss +0.053 | orig 0.996 pruned 0.992 | pruned% h1=  0.8 h2=  0.2 h3=  8.4 h4= 46.5 (avg= 14.0)
  [λ=0.05 seed=1] step  200 ep1 | loss +0.043 | orig 0.996 pruned 0.992 | pruned% h1=  3.7 h2=  0.0 h3=  7.8 h4= 61.3 (avg= 18.2)
  [λ=0.05 seed=1] step  300 ep2 | loss +0.036 | orig 0.992 pruned 1.000 | pruned% h1=  6.4 h2=  0.4 h3= 13.7 h4= 62.7 (avg= 20.8)
  [λ=0.05 seed=1] step  400 ep2 | loss +0.046 | orig 0.992 pruned 0.992 | pruned% h1=  7.2 h2=  0.0 h3= 25.6 h4= 64.3 (avg= 24.3)
  [λ=0.05 seed=1] step  500 ep3 | loss +0.048 | orig 0.996 pruned 0.996 | pruned% h1= 10.4 h2=  0.0 h3= 35.4 h4= 65.0 (avg= 27.7)
  [λ=0.05 seed=1] step  600 ep3 | loss +0.040 | orig 1.000 pruned 1.000 | pruned% h1= 11.3 h2=  0.0 h3= 40.4 h4= 65.0 (avg= 29.2)
