model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
gpt2,0.01,0,200,0.9764811346928278,2.3518865307172176,0.0,0.0,False,2.6171306950223094,2.443007607748896,0.17412308727341363,3.3292281599854867,3.065000578857364,0.2642275811281225,-0.09010449385470887
gpt2,0.01,0,400,0.9708659003178278,2.9134099682172176,0.5615234375,2.83203125,False,2.6171306950223094,2.4218055001020256,0.19532519492028388,3.3292281599854867,3.0949043905204046,0.23432376946508215,-0.03899857454479827
gpt2,0.01,0,500,0.958604613939921,4.139538606007898,1.2261286377906804,3.61328125,True,2.6171306950223094,2.454877284083901,0.1622534109384084,3.3292281599854867,3.1076379448187947,0.22159021516669197,-0.05933680422828358
