lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.2,0,200,0.001,pre_decay,0.9354074038565159,6.459259614348412,0.0,0.0,False,1.6041007663882296,1.647905801391098,-0.043805035002868475,1.592043673020105,1.6357323689762027,-0.04368869595609759,-0.0001163390467708858
0.2,0,400,0.001,pre_decay,0.914289241656661,8.571075834333897,2.111816219985485,11.23046875,False,1.6041007663882296,1.63666157204713,-0.032560805658900405,1.592043673020105,1.6269415398545666,-0.0348978668344615,0.002337061175561095
0.2,0,600,0.001,pre_decay,0.8953487277030945,10.465127229690552,1.8940513953566551,15.171599388122559,False,1.6041007663882296,1.6446936191607744,-0.04059285277254476,1.592043673020105,1.6393857611739904,-0.0473420881538853,0.006749235381340535
0.2,0,800,0.001,pre_decay,0.8709215819835663,12.907841801643372,2.44271457195282,11.830359697341919,False,1.6041007663882296,1.6482148879113065,-0.04411412152307692,1.592043673020105,1.650582478085471,-0.058538805065365906,0.014424683542288985
0.2,0,1000,0.0006944246244132442,decaying,0.8725869730114937,12.741302698850632,-0.16653910279273987,8.66350531578064,True,1.6041007663882296,1.6410575317533953,-0.03695676536516568,1.592043673020105,1.6483094856122433,-0.056265812592138253,0.019309047226972575
