lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.1,0,200,0.001,pre_decay,0.9851663075387478,1.4833692461252213,0.0,0.0,False,2.113287763630486,2.142828275619544,-0.029540511989057716,2.132129606178931,2.1596137677129,-0.027484161533969154,-0.0020563504550885625
0.1,0,400,0.001,pre_decay,0.9612252786755562,3.8774721324443817,2.3941028863191605,11.369973421096802,False,2.113287763630486,2.1275375581278335,-0.014249794497347423,2.132129606178931,2.136469953396184,-0.004340347217253182,-0.009909447280094241
0.1,0,600,0.001,pre_decay,0.9482880048453808,5.171199515461922,1.29372738301754,9.409874677658081,False,2.113287763630486,2.13341368706494,-0.020125923434453963,2.132129606178931,2.1437884900981863,-0.011658883919255292,-0.008467039515198671
0.1,0,800,0.001,decaying,0.9441812131553888,5.581878684461117,0.4106791689991951,10.400390625,True,2.113287763630486,2.129135487296538,-0.015847723666051916,2.132129606178931,2.137894051530704,-0.0057644453517728955,-0.01008327831427902
0.1,0,1000,0.00018929485680810548,decaying,0.94408312253654,5.591687746345997,0.009809061884880066,7.7636778354644775,False,2.113287763630486,2.1260145703860123,-0.012726806755526177,2.132129606178931,2.1342513345618706,-0.0021217283829395583,-0.010605078372586618
