lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.25,0,200,0.001,pre_decay,0.8997846730053425,10.021532699465752,0.0,0.0,False,2.113287763630486,2.1822554084281376,-0.0689676447976515,2.132129606178931,2.193294250287281,-0.061164644108349986,-0.007803000689301509
0.25,0,400,0.001,pre_decay,0.8794730473309755,12.052695266902447,2.031162567436695,36.376953125,False,2.113287763630486,2.1944401073785786,-0.08115234374809255,2.132129606178931,2.205166873627847,-0.07303726744891614,-0.008115076299176405
0.25,0,600,0.001,pre_decay,0.8845781963318586,11.542180366814137,-0.5105149000883102,25.28599500656128,False,2.113287763630486,2.1839960849643476,-0.07070832133386151,2.132129606178931,2.2012806190591125,-0.06915101288018155,-0.001557308453679962
0.25,0,800,0.001,pre_decay,0.8889901731163263,11.100982688367367,-0.4411976784467697,13.650953769683838,False,2.113287763630486,2.1794875045640865,-0.06619974093360037,2.132129606178931,2.192412685433846,-0.06028307925491516,-0.005916661678685209
0.25,0,1000,0.001,pre_decay,0.8821585942059755,11.784140579402447,0.68315789103508,16.72014594078064,False,2.113287763630486,2.1962871704199984,-0.08299940678951234,2.132129606178931,2.203862089975259,-0.0717324837963278,-0.011266922993184547
0.25,0,1200,0.001,pre_decay,0.8743068482726812,12.569315172731876,0.7851745933294296,14.822828769683838,False,2.113287763630486,2.193405409927771,-0.08011764629728502,2.132129606178931,2.202685844435921,-0.07055623825698998,-0.009561408040295039
0.25,0,1400,0.001,pre_decay,0.859139621257782,14.086037874221802,1.5167227014899254,20.78682780265808,False,2.113287763630486,2.2073348509950392,-0.09404708736455314,2.132129606178931,2.2130055085366083,-0.08087590235767728,-0.013171185006875863
0.25,0,1600,0.001,pre_decay,0.8862784598022699,11.372154019773006,-2.7138838544487953,18.75697374343872,False,2.113287763630486,2.1723488511680404,-0.059061087537554346,2.132129606178931,2.1794166763166576,-0.047287070137726595,-0.011774017399827752
0.25,0,1800,0.0006944246244132442,decaying,0.8847983609884977,11.520163901150227,0.14800988137722015,11.439728736877441,True,2.113287763630486,2.176842366355155,-0.06355460272466873,2.132129606178931,2.187099730554334,-0.05497012437540283,-0.0085844783492659
0.25,0,2000,0.0001,post_decay,0.8633881025016308,13.661189749836922,2.141025848686695,8.53794813156128,True,2.113287763630486,2.194367217818256,-0.08107945418776996,2.132129606178931,2.1999843360810316,-0.06785472990210062,-0.013224724285669343
