lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.01,0,200,0.9512261499961218,4.877385000387823,0.0,0.0,False,3.310324622854266,3.248702561002476,0.0616220618517902,3.2876505668779528,3.2281255348579565,0.05952503201999626,0.0020970298317939395
0.01,0,400,0.9319661756356558,6.803382436434424,1.9259974360466003,3.22265625,False,3.310324622854266,3.242257766860583,0.068066855993683,3.2876505668779528,3.225713336197609,0.061937230680343625,0.006129625313339382
0.01,0,500,0.9243978063265482,7.560219367345178,0.7568369309107545,2.1809935569763184,True,3.310324622854266,3.2879857936189945,0.02233882923527153,3.2876505668779528,3.2720072038025996,0.01564336307535319,0.00669546615991834
0.05,0,200,0.9322916865348816,6.770831346511841,0.0,0.0,False,3.310324622854266,3.243672689472848,0.06665193338141817,3.2876505668779528,3.2295123196479816,0.058138247229971185,0.008513686151446986
0.05,0,400,0.8863389939069748,11.36610060930252,4.59526926279068,26.23698115348816,False,3.310324622854266,3.238167704132815,0.07215691872145102,3.2876505668779528,3.21804691101089,0.06960365586706274,0.002553262854388283
0.05,0,600,0.8549804935852686,14.501950641473139,3.1358500321706178,10.9375,False,3.310324622854266,3.309510809275748,0.0008138135785178413,3.2876505668779528,3.2969906981862707,-0.0093401313083179,0.010153944886835742
0.05,0,800,0.853271501759688,14.672849824031198,0.1708991825580597,5.95703125,True,3.310324622854266,3.25022790909729,0.060096713756975895,3.2876505668779528,3.237094014593953,0.05055655228399969,0.009540161472976205
0.1,0,200,0.883599191904068,11.6400808095932,0.0,0.0,False,3.310324622854266,3.2645882133789144,0.045736409475351625,3.2876505668779528,3.2493350153009986,0.03831555157695421,0.007420857898397415
0.1,0,400,0.8415527443091074,15.844725569089258,4.204644759496057,14.290368556976318,False,3.310324622854266,3.2733880399825557,0.03693658287171031,3.2876505668779528,3.2513786849433126,0.03627188193464015,0.0006647009370701618
0.1,0,600,0.8181966294844946,18.180337051550545,2.335611482461287,4.231768846511841,False,3.310324622854266,3.2622618539044517,0.048062768949814316,3.2876505668779528,3.248153241434732,0.03949732544322071,0.008565443506593606
0.1,0,800,0.8055555721124014,19.444442788759865,1.26410573720932,6.315106153488159,False,3.310324622854266,3.3429391165252125,-0.03261449367094649,3.2876505668779528,3.328803118663959,-0.041152551786006075,0.008538058115059588
0.1,0,850,0.8082411289215088,19.17588710784912,-0.2685556809107439,2.6692748069763184,True,3.310324622854266,3.248341932223128,0.06198269063113804,3.2876505668779528,3.2226031033090905,0.06504746356886226,-0.003064772937724225
0.2,0,200,0.8170844341317812,18.291556586821876,0.0,0.0,False,3.310324622854266,3.282167021318751,0.028157601535514942,3.2876505668779528,3.264308333103651,0.02334223377430167,0.004815367761213274
0.2,0,400,0.7912326604127884,20.87673395872116,2.5851773718992845,13.639318943023682,False,3.310324622854266,3.2614802309874475,0.04884439186681844,3.2876505668779528,3.240907396115566,0.046743170762386654,0.002101221104431783
0.2,0,600,0.7696940253178278,23.030597468217216,2.1538635094960554,6.25,True,3.310324622854266,3.3262575719139047,-0.015932949059638712,3.2876505668779528,3.3041998929969214,-0.016549326118968644,0.0006163770593299311
0.25,0,200,0.7984483738740286,20.155162612597145,0.0,0.0,False,3.310324622854266,3.2902863497171295,0.020038273137136464,3.2876505668779528,3.2695329452710653,0.018117621606887457,0.0019206515302490068
0.25,0,400,0.7667914678653082,23.320853213469185,3.16569060087204,10.28645634651184,False,3.310324622854266,3.284140791935254,0.026183830919011886,3.2876505668779528,3.258793639746658,0.02885692713129462,-0.002673096212282733
0.25,0,600,0.7443576579292616,25.564234207073845,2.24338099360466,4.524743556976318,False,3.310324622854266,3.2928213107852704,0.01750331206899558,3.2876505668779528,3.268773571124384,0.018876995753568604,-0.0013736836845730238
0.25,0,650,0.746636301279068,25.3363698720932,-0.2278643349806444,2.24609375,True,3.310324622854266,3.303048100480366,0.007276522373900196,3.2876505668779528,3.284446748324081,0.003203818553871862,0.004072703820028334
0.3,0,200,0.7738715435067812,22.612845649321876,0.0,0.0,False,3.310324622854266,3.3053605371042356,0.004964085750030378,3.2876505668779528,3.2791931505391507,0.008457416338802037,-0.0034933305887716593
0.3,0,400,0.750054270029068,24.9945729970932,2.3817273477713243,7.259112596511841,False,3.310324622854266,3.329659128864302,-0.019334506010035835,3.2876505668779528,3.3008780767160446,-0.013227509838091844,-0.00610699617194399
0.3,0,600,0.7229546656211218,27.704533437887825,2.7099604407946245,8.268225193023682,True,3.310324622854266,3.3483234184470523,-0.037998795592786294,3.2876505668779528,3.3210383974296307,-0.03338783055167793,-0.004610965041108361
0.4,0,200,0.7363552699486414,26.364473005135856,0.0,0.0,False,3.310324622854266,3.333285583324696,-0.02296096047043017,3.2876505668779528,3.30564511729497,-0.01799455041701714,-0.0049664100534130284
0.4,0,400,0.7154948115348816,28.45051884651184,2.0860458413759844,8.91926884651184,False,3.310324622854266,3.3467427640750995,-0.03641814122083353,3.2876505668779528,3.309373972175069,-0.021723405297116027,-0.014694735923717506
0.4,0,600,0.6909179811676344,30.908201883236565,2.457683036724724,9.765625,False,3.310324622854266,3.3276968809668475,-0.017372258112581473,3.2876505668779528,3.2980484250102102,-0.010397858132257465,-0.006974399980324009
0.4,0,650,0.6905653278032938,30.943467219670616,0.035265336434051164,7.942706346511841,True,3.310324622854266,3.3899013821359953,-0.07957675928172936,3.2876505668779528,3.3637777200047787,-0.07612715312682594,-0.0034496061549034174
0.8,0,200,0.612711600959301,38.7288399040699,0.0,0.0,False,3.310324622854266,3.4712490129452704,-0.16092439009100445,3.2876505668779528,3.425669071876959,-0.13801850499900636,-0.02290588509199809
0.8,0,400,0.590684694548448,40.931530545155205,2.2026906410853044,10.7421875,False,3.310324622854266,3.4705320894080387,-0.16020746655377271,3.2876505668779528,3.428000043369741,-0.1403494764917883,-0.01985799006198441
0.8,0,600,0.5499403389791647,45.005966102083526,4.0744355569283215,16.40625,False,3.310324622854266,3.5331445978141747,-0.22281997495990868,3.2876505668779528,3.4819192693420367,-0.1942687024640839,-0.028551272495824787
0.8,0,650,0.5751410747567812,42.485892524321876,-2.52007357776165,17.48046875,True,3.310324622854266,3.492269646194201,-0.18194502333993512,3.2876505668779528,3.4445351382136744,-0.15688457133572165,-0.025060452004213474
1.6,0,200,0.4358995320896308,56.41004679103692,0.0,0.0,False,3.310324622854266,3.7457764783490477,-0.4354518554947817,3.2876505668779528,3.6514249600711617,-0.3637743931932089,-0.07167746230157279
1.6,0,400,0.3882649863759677,61.17350136240323,4.76345457136631,11.03515625,False,3.310324622854266,3.756699593973798,-0.44637497111953195,3.2876505668779528,3.6687979709053256,-0.3811474040273728,-0.06522756709215916
1.6,0,600,0.3757595618565877,62.42404381434123,1.2505424519380028,14.2578125,False,3.310324622854266,3.783970356101992,-0.47364573324772596,3.2876505668779528,3.6735765224967127,-0.38592595561876,-0.08771977762896599
1.6,0,800,0.3805609941482544,61.94390058517456,-0.4801432291666714,8.95182192325592,False,3.310324622854266,3.747124743939886,-0.43680012108562005,3.2876505668779528,3.659550871023448,-0.37190030414549513,-0.06489981694012492
1.6,0,950,0.3575032639006774,64.24967360993226,2.3057730247576984,9.63541865348816,True,3.310324622854266,3.8153578913443806,-0.5050332684901147,3.2876505668779528,3.718579373695094,-0.4309288068171413,-0.07410446167297335
