lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
1.0,0,200,0.001,pre_decay,0.6694506239145994,33.05493760854006,0.0,0.0,False,1.6281776965962675,1.8783464622835166,-0.2501687656872491,1.6271233652712795,1.8601885339651525,-0.23306516869387295,-0.017103596993376158
1.0,0,400,0.001,pre_decay,0.6176871303468943,38.231286965310574,5.176349356770515,16.80595874786377,False,1.6281776965962675,1.8923730314768572,-0.26419533488058966,1.6271233652712795,1.8883301923197697,-0.2612068270484902,-0.002988507832099474
1.0,0,600,0.001,pre_decay,0.6348791774362326,36.51208225637674,-1.7192047089338303,10.737645626068115,False,1.6281776965962675,1.8566491645527718,-0.2284714679565043,1.6271233652712795,1.8564947196136878,-0.2293713543424083,0.0008998863859039918
1.0,0,800,0.001,pre_decay,0.6011565392836928,39.884346071630716,3.372263815253973,19.467663764953613,False,1.6281776965962675,1.9040578758409732,-0.27588017924470565,1.6271233652712795,1.899147810479441,-0.2720244452081615,-0.003855734036544156
1.0,0,1000,0.001,pre_decay,0.6014120383188128,39.858796168118715,-0.025549903512001038,13.544696569442749,False,1.6281776965962675,1.8970983955735634,-0.26892069897729587,1.6271233652712795,1.89876775583121,-0.2716443905599304,0.0027236915826345243
1.0,0,1200,0.001,pre_decay,0.5798141099512577,42.01858900487423,2.159792836755514,11.173689365386963,False,1.6281776965962675,1.9152684362414514,-0.28709073964518383,1.6271233652712795,1.919424607328454,-0.29230124205717445,0.005210502411990614
1.0,0,1400,0.001,pre_decay,0.578528112731874,42.1471887268126,0.12859972193837166,16.951310634613037,False,1.6281776965962675,1.9210736188066657,-0.2928959222103982,1.6271233652712795,1.9165120979135433,-0.2893887326422637,-0.00350718956813445
1.0,0,1600,0.001,pre_decay,0.5601835008710623,43.98164991289377,1.834461186081171,25.554144382476807,False,1.6281776965962675,1.9371663960636314,-0.30898869946736385,1.6271233652712795,1.938288672709146,-0.3111653074378664,0.0021766079705025643
1.0,0,1800,0.001,pre_decay,0.5964724468067288,40.352755319327116,-3.628894593566656,11.418968439102173,False,1.6281776965962675,1.8750164453648417,-0.24683874876857415,1.6271233652712795,1.8817713620002303,-0.2546479967289508,0.007809247960376631
1.0,0,2000,0.001,pre_decay,0.5664346404373646,43.35653595626354,3.003780636936426,19.349563121795654,False,1.6281776965962675,1.9185637168716045,-0.290386020275337,1.6271233652712795,1.931624987639962,-0.3045016223686825,0.014115602093345503
1.0,0,2200,0.001,pre_decay,0.601860580034554,39.8139419965446,-3.5425939597189426,19.376814365386963,False,1.6281776965962675,1.8710324616858396,-0.24285476508957204,1.6271233652712795,1.8788860256799367,-0.25176266040865714,0.00890789531908509
1.0,0,2400,0.001,pre_decay,0.5881745042279363,41.18254957720637,1.3686075806617737,18.91351342201233,False,1.6281776965962675,1.9021035698776796,-0.27392587328141205,1.6271233652712795,1.909077312832401,-0.28195394756112147,0.008028074279709418
1.0,0,2600,0.001,pre_decay,0.5719675458967686,42.80324541032314,1.6206958331167698,21.175503730773926,False,1.6281776965962675,1.902525094597885,-0.27434739800161756,1.6271233652712795,1.924657758337185,-0.29753439306590557,0.023186995064288007
1.0,0,2800,0.001,pre_decay,0.5808275798335671,41.917242016643286,-0.8860033936798573,15.706759691238403,False,1.6281776965962675,1.900058106533606,-0.2718804099373384,1.6271233652712795,1.902970726352832,-0.2758473610815524,0.0039669511442139704
1.0,0,3000,0.001,pre_decay,0.5703891459852457,42.96108540147543,1.0438433848321438,16.55159592628479,False,1.6281776965962675,1.9218075807915846,-0.2936298841953171,1.6271233652712795,1.9269182496377093,-0.29979488436642976,0.006165000171112656
1.0,0,3200,0.001,pre_decay,0.5853583780117333,41.46416219882667,-1.4969232026487589,16.88772141933441,False,1.6281776965962675,1.880297968350839,-0.2521202717545714,1.6271233652712795,1.984948277077667,-0.3578249118063874,0.10570464005181601
1.0,0,3400,0.001,pre_decay,0.5678256759420037,43.21743240579963,1.7532702069729567,18.895351886749268,False,1.6281776965962675,1.9077469515021785,-0.279569254905911,1.6271233652712795,1.9210593984609565,-0.293936033189677,0.01436677828376598
1.0,0,3600,0.001,pre_decay,0.5557605810463428,44.423941895365715,1.2065094895660877,21.538883447647095,False,1.6281776965962675,1.9389452795073587,-0.3107675829110912,1.6271233652712795,1.9434334380228178,-0.3163100727515382,0.005542489840447029
1.0,0,3800,0.001,pre_decay,0.5764358844608068,42.356411553919315,-2.0675303414463997,15.461480617523193,False,1.6281776965962675,1.8925720179480798,-0.2643943213518123,1.6271233652712795,1.9028345901810308,-0.2757112249097513,0.011316903557939018
1.0,0,4000,0.001,pre_decay,0.5907720485702157,40.92279514297843,-1.4336164109408855,22.401893138885498,False,1.6281776965962675,1.8870708373010692,-0.2588931407048016,1.6271233652712795,1.8935351635842836,-0.2664117983130041,0.0075186576082024725
1.0,0,4200,0.001,pre_decay,0.5674282321706414,43.25717678293586,2.334381639957428,29.81467843055725,False,1.6281776965962675,1.9116464458338467,-0.28346874923757914,1.6271233652712795,1.9233670547992296,-0.2962436895279501,0.012774940290370962
1.0,0,4400,0.001,pre_decay,0.5859885960817337,41.40114039182663,-1.8560363911092281,17.405521869659424,False,1.6281776965962675,1.888384814224147,-0.2602071176278795,1.6271233652712795,1.8958741527440184,-0.26875078747273884,0.008543669844859325
1.0,0,4600,0.001,pre_decay,0.5760753452777863,42.392465472221375,0.9913250803947449,22.338300943374634,False,1.6281776965962675,1.9093573118639497,-0.2811796152676822,1.6271233652712795,1.9132657193305953,-0.28614235405931576,0.004962738791633559
1.0,0,4800,0.001,pre_decay,0.5850830050185323,41.49169949814677,-0.9007659740746021,28.588300943374634,False,1.6281776965962675,1.8884179514358872,-0.26024025483961966,1.6271233652712795,1.899714150615505,-0.27259078534422554,0.012350530504605883
