lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.05,0,200,0.001,pre_decay,0.9606536123901606,3.934638760983944,0.0,0.0,False,1.6281776965962675,1.6290734038929664,-0.0008957072966988555,1.6271233652712795,1.620022130383499,0.007101234887780583,-0.007996942184479439
0.05,0,400,0.001,pre_decay,0.9423118382692337,5.76881617307663,1.8341774120926857,7.1584343910217285,False,1.6281776965962675,1.6179135681502845,0.010264128445983012,1.6271233652712795,1.6165748774789568,0.010548487792322758,-0.00028435934633974647
0.05,0,600,0.001,pre_decay,0.9343062974512577,6.569370254874229,0.8005540817975998,5.8684587478637695,False,1.6281776965962675,1.6157355903208228,0.012442106275444731,1.6271233652712795,1.6137581973574744,0.013365167913805154,-0.0009230616383604229
0.05,0,800,0.0009173526628227329,decaying,0.9204129930585623,7.958700694143772,1.3893304392695427,5.259811878204346,True,1.6281776965962675,1.6242897562981702,0.0038879402980973587,1.6271233652712795,1.6261429607816933,0.0009804044895862507,0.002907535808511108
0.05,0,1000,0.00010003553010828275,decaying,0.9161234926432371,8.387650735676289,0.4289500415325165,3.3066868782043457,True,1.6281776965962675,1.6128688776845224,0.015308818911745181,1.6271233652712795,1.6183074971466471,0.00881586812463242,0.006492950787112761
