model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
gpt2,0.2,0,200,0.9425184627374014,5.748153726259863,0.0,0.0,False,2.6171306950223094,2.452134688169151,0.1649960068531584,3.3292281599854867,3.1158621557002215,0.2133660042852652,-0.04836999743210679
gpt2,0.2,0,400,0.909966379404068,9.0033620595932,3.2552083333333375,12.63020634651184,False,2.6171306950223094,2.4720436506560906,0.1450870443662189,3.3292281599854867,3.1326700583007634,0.19655810168472332,-0.05147105731850443
gpt2,0.2,0,600,0.8906521499156952,10.934785008430481,1.9314229488372803,8.10546875,False,2.6171306950223094,2.5028457213059436,0.11428497371636581,3.3292281599854867,3.1437838540849414,0.18544430590054528,-0.07115933218417947
gpt2,0.2,0,650,0.8931749314069748,10.68250685930252,-0.2522781491279602,4.427081346511841,True,2.6171306950223094,2.5341870338216435,0.08294366120066599,3.3292281599854867,3.190964423784478,0.13826373620100885,-0.05532007500034286
