lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,val_orig_ce,val_pruned_ce,val_delta,gap
0.4,0,200,0.001,pre_decay,0.8771035820245743,12.289641797542572,0.0,0.0,False,1.3055723350863684,1.0999737778320153,0.20559855725435305,1.2862396200837838,1.0954427514370084,0.19079686864677536,0.01480168860757769
0.4,0,400,0.001,pre_decay,0.7733636880293489,22.663631197065115,10.373989399522543,71.78415954113007,False,1.3055723350863684,1.0781227102589546,0.22744962482741382,1.2862396200837838,1.0755522547066676,0.2106873653771162,0.016762259450297634
0.4,0,600,0.001,pre_decay,0.6565594291314483,34.34405708685517,11.680425889790058,65.6795084476471,False,1.3055723350863684,1.0953500337215964,0.21022230136477194,1.2862396200837838,1.0970953801186236,0.18914423996516017,0.02107806139961177
0.4,0,800,0.001,pre_decay,0.6279609091579914,37.20390908420086,2.859851997345686,29.642075300216675,False,1.3055723350863684,1.0820394367599802,0.22353289832638823,1.2862396200837838,1.0855646112218245,0.20067500886195933,0.022857889464428904
0.4,0,1000,0.001,pre_decay,0.5813016607426107,41.86983392573893,4.665924841538072,28.38844060897827,False,1.3055723350863684,1.0833115648857734,0.22226077020059498,1.2862396200837838,1.0971745893729976,0.18906503071078617,0.033195739489808807
0.4,0,1200,0.001,pre_decay,0.6198900816962123,38.01099183037877,-3.85884209536016,21.575218439102173,False,1.3055723350863684,1.0409631568091158,0.2646091782772526,1.2862396200837838,1.0703052605732604,0.21593435951052342,0.04867481876672919
0.4,0,1400,0.001,pre_decay,0.5795955192297697,42.04044807702303,4.0294562466442585,19.81286108493805,False,1.3055723350863684,1.051212792023989,0.2543595430623793,1.2862396200837838,1.0774499803526592,0.20878963973112463,0.04556990333125466
0.4,0,1600,0.001,pre_decay,0.5592296472750604,44.07703527249396,2.036587195470929,32.757991552352905,False,1.3055723350863684,1.0630296425211816,0.2425426925651868,1.2862396200837838,1.0807192451892706,0.20552037489451314,0.037022317670673655
0.4,0,1800,0.001,pre_decay,0.5244907080195844,47.55092919804156,3.4738939255476,18.35029125213623,False,1.3055723350863684,1.0669168522972485,0.23865548278911985,1.2862396200837838,1.081630400676008,0.20460921940777577,0.03404626338134409
0.4,0,2000,0.001,pre_decay,0.5612849709577858,43.871502904221416,-3.6794262938201427,22.4200576543808,False,1.3055723350863684,1.0461540591024752,0.2594182759838932,1.2862396200837838,1.0632584667293874,0.2229811533543964,0.03643712262949683
0.4,0,2200,0.001,pre_decay,0.5026741903275251,49.732580967247486,5.861078063026071,29.978197813034058,False,1.3055723350863684,1.0535889156611569,0.2519834194252115,1.2862396200837838,1.0778616370161065,0.2083779830676773,0.04360543635753422
0.4,0,2400,0.001,pre_decay,0.5042525860480964,49.57474139519036,-0.15783957205712795,22.53814935684204,False,1.3055723350863684,1.0542551289622302,0.2513172061241382,1.2862396200837838,1.0706261260605896,0.21561349402319419,0.03570371210094403
0.4,0,2600,0.001,pre_decay,0.5024045025929809,49.759549740701914,0.18480834551155567,14.480382204055786,False,1.3055723350863684,1.0480063774151365,0.2575659576712319,1.2862396200837838,1.0752139808972183,0.21102563918656547,0.04654031848466644
0.4,0,2800,0.001,pre_decay,0.5011554062366486,49.884459376335144,0.12490963563323021,28.361189365386963,False,1.3055723350863684,1.0537556949302462,0.25181664015612215,1.2862396200837838,1.0722096905946545,0.21402992948912924,0.037786710666992906
0.4,0,3000,0.001,pre_decay,0.4767356626689434,52.32643373310566,2.4419743567705154,19.349563121795654,False,1.3055723350863684,1.0480904947040115,0.2574818403823569,1.2862396200837838,1.073074342766965,0.2131652773168189,0.044316563065537995
0.4,0,3200,0.001,pre_decay,0.490719813387841,50.9280186612159,-1.398415071889758,22.510898113250732,False,1.3055723350863684,1.0437581252882018,0.2618142097981666,1.2862396200837838,1.0561113543402907,0.2301282657434931,0.03168594405467351
0.4,0,3400,0.001,pre_decay,0.49280636571347713,50.71936342865229,-0.20865523256361485,19.722023606300354,False,1.3055723350863684,1.0354451350092495,0.2701272000771189,1.2862396200837838,1.065250649028581,0.22098897105520288,0.049138229021916
0.4,0,3600,0.001,pre_decay,0.48371638962998986,51.628361037001014,0.9089976083487272,17.278343439102173,False,1.3055723350863684,1.0394389466805891,0.26613338840577927,1.2862396200837838,1.0781312664944684,0.20810835358931534,0.05802503481646393
