model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
opt125m,0.8,0,200,0.5050184602538744,49.498153974612556,0.0,0.0,False,2.4598153548926462,2.679211659403705,-0.21939630451105874,2.9102497330431762,3.3442243188259,-0.43397458578272374,0.214578281271665
opt125m,0.8,0,400,0.4860026178260644,51.39973821739356,1.9015842427810057,11.328125,False,2.4598153548926462,2.707462820907305,-0.2476474660146586,2.9102497330431762,3.3067852833258677,-0.3965355502826915,0.1488880842680329
opt125m,0.8,0,600,0.4554307858149211,54.45692141850789,3.057183201114327,21.6796875,False,2.4598153548926462,2.767574004491412,-0.30775864959876564,2.9102497330431762,3.3780671908461133,-0.46781745780293704,0.1600588082041714
opt125m,0.8,0,800,0.4637586946288745,53.62413053711255,-0.83279088139534,14.68098759651184,False,2.4598153548926462,2.692661861888971,-0.2328465069963248,2.9102497330431762,3.326018274935506,-0.4157685418923296,0.18292203489600478
opt125m,0.8,0,1000,0.4641655969123046,53.58344030876954,-0.04069022834300995,11.42578125,False,2.4598153548926462,2.722225743490814,-0.2624103885981679,2.9102497330431762,3.3563275449707373,-0.446077811927561,0.18366742332939312
opt125m,0.8,0,1050,0.4497884213924408,55.02115786075592,1.4377175519863812,15.46224057674408,True,2.4598153548926462,2.73738173816287,-0.27756638327022376,2.9102497330431762,3.3577413176910387,-0.44749158464786243,0.16992520137763867
