model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
opt125m,0.05,0,200,0.9484049628178278,5.159503718217218,0.0,0.0,False,2.4598153548926462,2.515913569065792,-0.056098214173145866,2.9102497330431762,2.9499971309841464,-0.03974739794097015,-0.016350816232175713
opt125m,0.05,0,400,0.895806223154068,10.4193776845932,5.259873966375983,21.6796875,False,2.4598153548926462,2.4863937241608753,-0.026578369268229096,2.9102497330431762,2.961059198414994,-0.05080946537181763,0.024231096103588534
opt125m,0.05,0,600,0.8629828790823618,13.701712091763818,3.2823344071706178,24.609375,False,2.4598153548926462,2.488639589104572,-0.028824234211925592,2.9102497330431762,2.95785758312174,-0.04760785007856372,0.018783615866638126
opt125m,0.05,0,800,0.8480089207490286,15.199107925097143,1.497395833333325,8.91926884651184,False,2.4598153548926462,2.503258019033061,-0.043442664140414866,2.9102497330431762,2.9859712405734933,-0.07572150753031703,0.03227884338990217
opt125m,0.05,0,1000,0.849555142223835,15.0444857776165,-0.15462214748064262,6.510418653488159,False,2.4598153548926462,2.479818681823809,-0.02000332693116258,2.9102497330431762,2.9459944171770474,-0.03574468413387111,0.015741357202708528
opt125m,0.05,0,1200,0.819959873954455,18.004012604554497,2.9595268269379957,6.575518846511841,False,2.4598153548926462,2.5070903909695397,-0.04727503607689343,2.9102497330431762,2.9852358037685045,-0.07498607072532826,0.02771103464843483
opt125m,0.05,0,1250,0.8269856919844946,17.301430801550545,-0.7025818030039517,6.93359375,True,2.4598153548926462,2.5033615316452296,-0.04354617675258332,2.9102497330431762,2.9652456798640063,-0.05499594682083009,0.011449770068246767
