model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
gpt2,0.25,0,200,0.9199218998352686,8.007810016473139,0.0,0.0,False,2.6171306950223094,2.486149896988666,0.13098079803364326,3.3292281599854867,3.141093569742794,0.18813459024269275,-0.05715379220904948
gpt2,0.25,0,400,0.8867458999156952,11.325410008430481,3.3175999919573425,15.625,False,2.6171306950223094,2.5452233286113173,0.07190736641099216,3.3292281599854867,3.1521850231516426,0.1770431368338441,-0.10513577042285194
gpt2,0.25,0,600,0.873562311132749,12.643768886725104,1.3183588782946227,6.15234375,True,2.6171306950223094,2.511917541324097,0.10521315369821238,3.3292281599854867,3.1709500634552716,0.15827809653021507,-0.05306494283200269
