lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.05,0,200,0.001,pre_decay,0.9793788753449917,2.0621124655008316,0.0,0.0,False,1.6041007663882296,1.613640461579049,-0.00953969519081932,1.592043673020105,1.600027911832193,-0.007984238812087874,-0.0015554563787314457
0.05,0,400,0.001,pre_decay,0.9557757116854191,4.422428831458092,2.36031636595726,6.954514980316162,False,1.6041007663882296,1.6135538560957567,-0.009453089707527118,1.592043673020105,1.6013789906230254,-0.009335317602920279,-0.00011777210460683918
0.05,0,600,0.0006944246244132442,decaying,0.9558345675468445,4.416543245315552,-0.005885586142539978,5.10602593421936,True,1.6041007663882296,1.6059097890679928,-0.0018090226797631281,1.592043673020105,1.5939985267515027,-0.0019548537313975878,0.00014583105163445964
