lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.25,0,200,0.001,pre_decay,0.9144701659679413,8.552983403205872,0.0,0.0,False,1.6041007663882296,1.6670994246329554,-0.06299865824472572,1.592043673020105,1.655585211616399,-0.06354153859629386,0.0005428803515681313
0.25,0,400,0.001,pre_decay,0.89574109390378,10.425890609622002,1.87290720641613,10.26087999343872,False,1.6041007663882296,1.6482920950228086,-0.044191328634578975,1.592043673020105,1.6432142174194573,-0.0511705443993522,0.006979215764773228
0.25,0,600,0.001,pre_decay,0.8838087171316147,11.619128286838531,1.1932376772165298,15.45758843421936,False,1.6041007663882296,1.6508449485376884,-0.046744182149458746,1.592043673020105,1.6458176163788398,-0.053773943358734755,0.007029761209276009
0.25,0,800,0.001,pre_decay,0.8693499267101288,13.065007328987122,1.44587904214859,14.488005638122559,False,1.6041007663882296,1.6499130982976333,-0.0458123319094037,1.592043673020105,1.6518859458033086,-0.05984227278320353,0.014029940873799829
0.25,0,1000,0.0006944246244132442,decaying,0.8598437048494816,14.015629515051842,0.9506221860647202,14.06947374343872,False,1.6041007663882296,1.6682057500698582,-0.06410498368162854,1.592043673020105,1.6821250275718291,-0.09008135455172406,0.025976370870095522
0.25,0,1200,0.0001,post_decay,0.8493260387331247,15.067396126687527,1.051766611635685,12.025666236877441,True,1.6041007663882296,1.646768917834564,-0.04266815144633429,1.592043673020105,1.6589701234961742,-0.06692645047606915,0.024258299029734864
