model,lambda,seed,step,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
opt125m,0.05,0,200,0.9305284470319748,6.947155296802521,0.0,0.0,False,2.4598153548926462,2.542571334252918,-0.08275597936027168,2.9102497330431762,3.000033437739601,-0.08978370469642494,0.0070277253361532566
opt125m,0.05,0,400,0.8764377385377884,12.356226146221161,5.40907084941864,35.41666269302368,False,2.4598153548926462,2.49149767467338,-0.03168231978073388,2.9102497330431762,2.945389174917211,-0.03513944187403473,0.003457122093300846
opt125m,0.05,0,600,0.8486057122548422,15.139428774515784,2.7832026282946227,14.35546875,False,2.4598153548926462,2.4901248129866773,-0.030309458094031072,2.9102497330431762,2.978122729578386,-0.06787299653520984,0.03756353844117877
opt125m,0.05,0,700,0.8438856502374014,15.611434976259863,0.4720062017440796,3.41796875,True,2.4598153548926462,2.4891322879529567,-0.02931693306031047,2.9102497330431762,2.958390284324661,-0.048140551281484534,0.018823618221174065
