lambda,seed,step,lr,lr_state,avg_gate,pct_pruned,delta_pct_pruned,max_layer_delta_pct,would_be_converged,train_orig_ce,train_pruned_ce,train_delta,test_orig_ce,test_pruned_ce,test_delta,gap
0.4,0,200,0.001,pre_decay,0.8680093325674534,13.199066743254662,0.0,0.0,False,1.6041007663882296,1.6944994640726097,-0.09039869768438002,1.592043673020105,1.6846567426157675,-0.0926130695956624,0.0022143719112823756
0.4,0,400,0.001,pre_decay,0.8462110664695501,15.378893353044987,2.179826609790325,12.99525499343872,False,1.6041007663882296,1.6832047923020992,-0.07910402591386956,1.592043673020105,1.6771357396585531,-0.08509206663844804,0.005988040724578481
0.4,0,600,0.001,pre_decay,0.8248008005321026,17.51991994678974,2.141026593744755,14.634490013122559,False,1.6041007663882296,1.6859306633316276,-0.08182989694339793,1.592043673020105,1.683358094709349,-0.09131442168924386,0.009484524745845935
0.4,0,800,0.001,pre_decay,0.8015638422220945,19.843615777790546,2.323695831000805,12.72321343421936,False,1.6041007663882296,1.6959649438216577,-0.09186417743342812,1.592043673020105,1.7041180058620857,-0.11207433284198065,0.020210155408552533
0.4,0,1000,0.00041633128829033424,decaying,0.7855835296213627,21.44164703786373,1.598031260073185,14.369416236877441,False,1.6041007663882296,1.7096544055381382,-0.10555363914990856,1.592043673020105,1.7141875777235698,-0.1221439047034647,0.01659026555355614
